X;Y;Z
8.942896842956542969e+00;3.909131526947021484e+00;7.987373828887939453e+00
9.275655746459960938e+00;4.171028137207031250e+00;7.656476497650146484e+00
4.527766704559326172e+00;4.545095443725585938e+00;2.493607759475708008e+00
5.068351268768310547e+00;4.023958206176757812e+00;2.703173160552978516e+00
9.193747520446777344e+00;2.548659563064575195e+00;5.644586563110351562e+00
9.245367050170898438e+00;3.194093227386474609e+00;5.434614181518554688e+00
4.499941825866699219e+00;5.811954021453857422e+00;2.581801652908325195e+00
4.548409461975097656e+00;5.536013126373291016e+00;2.460783243179321289e+00
4.536382198333740234e+00;5.705225467681884766e+00;3.112859964370727539e+00
6.679383277893066406e+00;4.135427951812744141e+00;3.782725334167480469e+00
7.446061134338378906e+00;3.213904380798339844e+00;7.334961891174316406e+00
1.011705970764160156e+01;4.020867824554443359e+00;8.100280761718750000e+00
4.215198516845703125e+00;5.200488090515136719e+00;3.179494142532348633e+00
4.787532806396484375e+00;5.961314201354980469e+00;1.926289916038513184e+00
4.872320652008056641e+00;5.418998241424560547e+00;1.247051358222961426e+00
6.699833869934082031e+00;4.500077247619628906e+00;6.857474327087402344e+00
7.068176269531250000e+00;4.412418365478515625e+00;7.068900108337402344e+00
7.230720996856689453e+00;5.403782844543457031e+00;5.065052986145019531e+00
7.812543869018554688e+00;6.103261470794677734e+00;5.700104713439941406e+00
7.706977844238281250e+00;6.130883216857910156e+00;5.576245307922363281e+00
7.914835453033447266e+00;5.951394081115722656e+00;5.634360790252685547e+00
4.044716358184814453e+00;4.280585765838623047e+00;3.850514888763427734e+00
6.676174640655517578e+00;3.383663415908813477e+00;3.826105117797851562e+00
4.442936897277832031e+00;5.422794818878173828e+00;4.051497459411621094e+00
5.140216350555419922e+00;4.017666339874267578e+00;2.737907171249389648e+00
6.265228271484375000e+00;4.258076667785644531e+00;4.164750576019287109e+00
7.439069747924804688e+00;5.357233524322509766e+00;6.712787628173828125e+00
8.197922706604003906e+00;4.120056152343750000e+00;6.649962902069091797e+00
7.559723854064941406e+00;4.742418766021728516e+00;4.872133731842041016e+00
8.212140083312988281e+00;4.235901832580566406e+00;6.568438529968261719e+00
4.202014446258544922e+00;5.271009922027587891e+00;3.698867559432983398e+00
5.892355442047119141e+00;3.355201721191406250e+00;5.497735023498535156e+00
5.983327388763427734e+00;3.297666072845458984e+00;5.306963443756103516e+00
7.612626075744628906e+00;3.702715158462524414e+00;7.362101078033447266e+00
3.093633174896240234e+00;4.607618331909179688e+00;2.913489818572998047e+00
3.422573089599609375e+00;4.540132045745849609e+00;2.913334131240844727e+00
3.135753154754638672e+00;4.536411762237548828e+00;3.037520885467529297e+00
2.242761850357055664e+00;4.887923240661621094e+00;3.421859979629516602e+00
6.237905979156494141e+00;3.770862340927124023e+00;6.205398082733154297e+00
4.816431045532226562e+00;2.689549922943115234e+00;6.501824378967285156e+00
6.057037830352783203e+00;3.961304187774658203e+00;6.326355934143066406e+00
5.235438823699951172e+00;2.951392173767089844e+00;6.611610889434814453e+00
3.694360256195068359e+00;4.553968906402587891e+00;3.431695699691772461e+00
6.548999786376953125e+00;3.849249362945556641e+00;4.294641494750976562e+00
2.237412452697753906e+00;4.855288028717041016e+00;3.429246187210083008e+00
2.237741470336914062e+00;4.930217266082763672e+00;3.410044670104980469e+00
5.458028793334960938e+00;5.547556400299072266e+00;1.815877556800842285e+00
3.390151739120483398e+00;4.548539161682128906e+00;2.928313493728637695e+00
5.117400646209716797e+00;3.947645664215087891e+00;2.447165727615356445e+00
5.276618003845214844e+00;3.965385675430297852e+00;2.309633970260620117e+00
