frame,shortest_euclidean,corresponding_column
1,0.29525219402955905,209
2,0.2891644324531977,89
3,0.22536764320091288,89
4,0.378091554005168,200
5,0.6943371440982457,107
6,0.16084097109795187,170
7,0.1242498451222145,170
8,0.06284825806729337,170
9,0.17441774403909255,170
10,0.17039577045181015,472
11,0.10289190060066351,437
12,0.2615856856502378,448
13,0.5918644190001473,361
14,0.15216158767903587,260
15,0.218731851672706,260
16,0.26402128226347005,260
17,0.267183112395233,207
18,0.2072724662630046,208
19,0.2919004576952983,207
20,0.27824768388933036,208
21,0.37494529398699034,207
22,0.32343754657148194,260
23,0.35158179909111414,208
24,0.34073234878123454,269
25,0.10913382705575532,170
26,0.089906424400864,86
27,0.1730006521639186,287
28,0.14615816406548862,170
29,0.28934951959764327,170
30,0.29169988045372086,228
31,0.23499167940550092,130
32,0.14185489357227263,311
33,0.24418648943759147,49
34,0.31903436747194086,130
35,0.3554749559586815,130
36,0.29875437576931285,130
37,0.40320805212031213,345
38,0.31460674917296544,481
39,0.3614198988003874,481
40,0.14586328827811326,47
41,0.3621669928552215,425
42,0.6234216471943328,215
43,0.4740078877920079,460
44,0.3962245675454279,460
45,0.5055956131578512,175
46,0.15119003738606235,177
47,0.2177429040203425,470
48,0.23984182618290367,305
49,0.12629755952533367,457
50,0.09902359961470163,457
51,0.29333641001022553,12
52,0.38726918209796973,16
53,0.49113616424813616,428
54,0.3754590211440378,428
55,0.2502670631028848,238
56,0.3746622623097779,294
57,0.3274736577601377,125
58,0.6462879413869425,72
59,0.22799914583977884,130
60,0.14722611078609,311
61,0.2113979434922376,280
62,0.21243842875169305,280
63,0.1762881608475152,311
64,0.33988477686306434,481
65,0.10230888034780428,344
66,0.0877486765001208,311
67,0.14792052715387763,344
68,0.7562638836756168,308
69,0.49201330113148906,145
70,0.30604977331908106,9
71,0.37542942478690977,190
72,0.13633010115357627,282
73,0.1311885982925945,145
74,0.21213713962844688,46
75,0.2552549731788813,330
76,0.11250905268524,154
77,0.2579124442280656,330
78,0.15501249250702828,330
79,0.1863553646844104,155
80,0.3685252475041448,155
81,0.28193522775839963,330
82,0.2883989391175919,356
83,0.15063249809048335,429
84,0.22850488851188516,431
85,0.10549347358073456,170
86,0.07755698423919638,287
87,0.04498367628385551,86
88,0.08563209345954005,287
89,0.21352235475855,396
90,0.22425596142061016,223
91,0.17338299581833008,224
92,0.3603926130735263,138
93,0.6779114711556075,138
94,0.25206980862453426,457
95,0.35948860376143194,55
96,0.1817835045936707,89
97,0.3094433622101373,304
98,0.4871003460516249,304
99,0.31810445823885886,181
100,0.4154153907987964,304
101,0.28460470814991273,304
102,0.27215389093861886,304
103,0.22644786405601583,282
104,0.10433587988075002,282
105,0.35797319497673274,330
106,0.26776550745549804,331
